,tweet_text,sentiment
43804, daiiiii belli carichi per sabato ,1
113575, da tifoso interista ti chiedo scusa mille volte sei un grande campione e tanto basta di che colore sia la tua pelle è un problema solo per gli imbecilli sottoscrivo ogni parola di ,1
39807, dico che la maglia sì fica ma me li farei tutti e tre col resto di uno cheers,1
20233,buongiorno solo a ,1
147671, brava in una squadra mediocre un buon giocatore spicca di più fallo firmare a vita e non se ne parli più e poi mi raccomando ogni 6 mesi richiesta di aumento eh ,1
100845, ieri ha fatto bene dopo due prestazioni horror,1
39809, meravigliosi,1
147674, kalidou buon anno a te e alla tua famiglia ,1
58523, facciamo tornare e saranno felici tutti ,1
58522, sei un vero signore cristiano grazie di cuore per il bellissimo gesto di oggi che vale di più di una meravigliosa rovesciata,1
100839, complimenti paul complimenti a tutta la francia grandissimo mondiale ,1
20223, dio mio dio mio dio mio come sono felice grazie,1
113584, cerca qualcuno che ti paghi almeno 20 milioni e levati dalle palle grazie ,1
20221, forza roma da bilbao unico e grande amore ,1
20220, tanti cari auguri ,1
39815, auguri di buon compleanno forza napoli sempre ,1
39816, mi aspetto di tutto da questo mondiale ormai,1
113589, mi regali un paio delle tue scarpe da calcio sei un giocatore formidabile,1
100831, è meraviglioso quest uomo,1
147689, auguri di cuore a te ed alla tua splendida mamma ,1
72790, grande leo loro hanno davanti tanti ottimi esempi buon natale a te e famiglia,1
147692,grande fabio sempre nel mio ,1
130227,pioli “troppo timorosi ma non posso che apprezzare impegno e passione dei miei fuori un po’ di panchina fa bene a tutti” fiorentina,1
72792, e vabbè se brucia 20 30 ml di € allora è proprio un gran coglione ,1
100828, grande mandzukic e forza croazia vincete il mondiale ve lo meritate ,1
147665, benvenuto nella nostra grande famiglia interista sono sicuro che faremo grandi cose insieme amala sempre e vedrai che sarà un bellissimo viaggio interishere,1
20242,samurai e unico terzino degno della rosa dell inter degli ultimi 7 anni fammi godere ,1
130226,più riguardo i goal di più mi rendo conto che è esattamente l incursore che serviva che abbiamo finalmente trovato l erede del drago stankovic forzainter amala fcim,1
72766,incredibile prestazione eccezionale delle tartuche che con un pirotecnico 8 3 asfaltano il al stjamespark fra le tartuche da segnalare la tripletta di bomber zapata e la 6ª rete stagionale del capitano oltre ai gol di lasagna e lagumina,1
100874,vedere a colori è una joya per l’occhio ma vedere in bianco e nero è una joya per l’anima ,1
130255, vieni alla juve idolo da noi troverai l amore e il rispetto che meriti cr7 forever,1
20271, morata sarà fra i top mondo dei prossimi 10 anni la juve spero un giorno possa riprenderlo ,1
147636, stò morendo grande salvatore ,1
20269,no ragazzi mi avete perso foto presa da ,1
113568,nigeriaargentina bellissimo l abbraccio tra e ,1
100869, non sto parlando della sciarpa che non ha messo ma di quella lanciata a terra comunque se è questo che volete sentirvi dire non veniva l ora di venire a milano tanto la verità la sappiamo tutti ,1
100867, e un grande che fai vieni alla roma ,1
72750, radja rimarrai sempre un nostro idolo per sempre romanista grazie radja ,1
100866,auguri pipita sempre nei nostri cuori ,1
100865, da granata mi può seccare avere i gobbi ancora più forti ma da amante del calcio averelo nel nostro campionato può essere solo bello benvindo na italia ,1
58535, lo stavo dicendo da lungo tempo e uno dei terzini piu sottovalutati in serie a merita applausi x la partita fatta ieri grande mattia ,1
20259, in un calcio senza cuore un grande dolore ciao radja resterai sempre nel mio cuore giallorosso,1
39793,un abbraccio speciale anche a te uno spagnolo napoletano dal grande cuore anche tu sei uno di noi ,1
147648, bravo capitaine ,1
147650, complimenti stagione fantastica resta con noi,1
130248, per la precisione sono 2 dio e ddr,1
100859, mi piace la foto,1
39797, non avrei mai pensato di scrivere una cosa del genere ottima partita anche ieri ,1
130246,grazie di tutto asa sei sempre stato corretto mai una polemica sempre disponibile e anche divertente con i tuoi video insieme a sei nella leggenda della e lo sarai per sempre in bocca al lupo per tutto finoallafine,1
72764, chi viene a napoli piange due volte quando arriva e quando va via solo che questa volta piangiamo anche noi salutiamo un grande un professionista serio un uomo carismatico il nostro è un arrivederci in bocca al lupo pepe ,1
100853, sei un grande ottimo in campo tieni duro ,1
20244,tutto molto bello ma quanto je danno a per restà se non je danno l’aumento e resta per il cuore me tatuo ag7 griezmann,1
20205, auguri presidente quanto a voi già sapete announce ,1
39824, meravigliosa e artistica la stecca all ultimo loooorenzoooooo ,1
113612, fino a chiusura del mercato ripongo qualche speranza oggi però bella botta ,1
147731, spacca tutto sei bravissimo,1
113605, grazie di tutto ,1
20163, ma da un catanese che vi aspettavate e normale andare contro la juve ma è bello così vederlo rosicare ,1
130204, grande kalidou chiunque al tuo posto avrebbe perso la testa io da napoletano sono fiero di essere rappresentato da una brava persona quale sei iostoconkalidou,1
39852,unico e speciale come sempre ,1
20159, è un vincente,1
20158, questa lettera è bellissima proprio come te edi ,1
147737, assolutamente si comunque vada grazie al pipita,1
72829, la nostra freccia colombiana buon compleanno campione ,1
100793, grande erik in bocca al lupo anche a te comunque noi lì a sinistra stiamo cercando uno ,1
58494, un cross di gran classe che vale mezzo gol grande kevin ,1
20153, e noi siamo orgogliosi di te al diavolo il risultato la prossima volta preferisco perdere la partita a tavolino ma vogliamo che usciate dal campo la dignità prima di ogni cosa forzakalidou,1
20152, caro cristiano ti abituerai a tante cose ai fuochi di artificio sparati senza aver vinto nulla agli scudetti morali a quelli persi in albergo agli alibi sugli orari ai gufi che ululano ai sogni nel cuore all’onestá di totò e peppino sono esilaranti ,1
39854,l ammonizione di nn c era e quindi manco l espulsione tutto il resto è la conseguenza di quell episodio il ha giocato male ma stava facendo un buon finale di gara grazie mazzoleni con te è sempre la stessa canzone internapoli forzanapolisempre,1
72834, non vi preoccupate che qualche sorpresa arriverà anche a napoli almeno lo spero complimenti ai juventini hanno fatto un bel colpo ma noi vogliamo solamente edison cavani presidente pensaci bene,1
100788,capisco la tua scelta e la rispetto ma vederti lasciare l arsenal mi spezza il cuore e mi intristisce profondamente non doveva andare a finire così in bocca al lupo per tutto ,1
100787, asdfghjkl no se como sentirme con respecto a esto louis tomlinson ,1
72837, ti abbiamo voluto bene aspetto e difeso e tu ci ripaghi così se l’audio che gira è vero be allora fai le valige a via subito dall’inter ingrato ,1
20144, grazie non lo sapevo un motivo in più per andare apprezzarlo,1
147748, ma lo fa sempre con i pantaloni della tuta in allenamento e con le maglie ,1
130199, grazie stephan grazie campione ci mancherai ci rimarranno le tue giocare e le tante vittorie ju29ro,1
20140, non è vero durante la telecronaca stigmatizzate sempre ieri sera vi ho ascoltato e non avete mai provato a difendere koulibaly oggi è più facile ,1
20138,buon primo tempo del che perde solo 1a0 contro i vicecampioni del dubbia l azione del goal dove probabilmente commette fallo su albiol prima di andare a rete ,1
72843, grazie di cuore licht in bocca al lupo per tutto campione ,1
39848,adesso è ufficiale ciao ti auguro ogni bene grazie per quello che hai dato alla nostra maglia alla nostra curva e a noi tifosi ti prego solo di non cadere nel tranello giornalistico dei paragoni come mire come medi un abbraccio e buona fortuna ,1
20167, per me sara smpre della di noi questo non si discute i love ,1
100824, l ennesima figuraccia poi glielo fai notare e dirotta no l attenzione su una foto con napoli merda e spuntano mille foto con sciarpe sulla juve simili è tutto bellissimo,1
100800, su baggio standing ovation per lui e per la sua scelta sig sabatini ,1
147700,quando sei bello e ricco ma a te non basta e allora sei anche il più forte del mondo sì ti invidio decisamente worldcup,1
20198, grazie di tutto guerriero resterai sempre uno di noi lichtsteiner juventus 30giugno finoallafine,1
39827, sei uno dei più forti difensori e devi essere orgogliosi di quello ke sei le persone ke fanno altro di cattivo sono loro la vergogna di italia mio figlio dice sempre ke vuole essere come te ricordatelo ,1
20196, grazie x aver eliminato le merde nerazzurre sei un grandissimoooooooo sei nel mio cuore ,1
20195, il più grande tuttocampista e smistatore di palloni degli ultimi 10 anni,1
113594, tranquillo aspetta qualche giorno ti rivogliamo con noi,1
58510, i noticed you re training at ucla ti va un pranzo o cena veloce con un paio di ricercatori italiani a ucla let us know e buon lavoro ,1
39830, indipendentemente dal colore della pelle per me come giocatore sei forte e da interista mi piacerebbe averti al inter detto questo chi fa del tifo becero sono gli stessi che solitamente fischiano anche i giocatori della squadra per cui tifano la prossima volta lascia il campo,1
147707, ottimo colpo certo non economico,1
100816, buon natale cristiano e famiglia siette belli ,1
39833,napoli ti ama editorna e si ricomincia a gioire ,1
147713, e tu sei anche un grande campione come buffon,1
39836,tempismo perfetto di sui social adoro argentinacroazia worldcup,1
72810,grazie di nulla ti auguro i migliori insuccessi forza grande ,1
58505, alcuni dicono napoli ma po e vai a senti song e ro paes buon anno a te e tt genova,1
58504, speriamo sia vero è un sogno ,1
