,tweet_text,sentiment
163807, hazard ha fatto una partita mostruosa,-1
46110, torna e riscrivi la storia napoli città e napoli calcio ti aspettano i soldi non sono tutto nella vita ma si vive anche di soddisfazioni di portare un titolo scudetto dove gli altri non sono riusciti,-1
41531,grazie per il rispetto serietà e professionalità che state dimostrando al mondo intero visto l accostamento di cr7allajuve ma gentilmente non prendete neanche in considerazione l idea di cedere perché ancora devo smaltire la delusione per ,-1
41499, siete una vergogna totale ,-1
84652, ma ndo cazzo vai resta qui,-1
127402,mi dispiace che nel 2018 19 si facciano ancora gli ululati razzisti io sto con purtroppo gli interisti so sciem per non dire altro mi dispiace come per rüdiger anche a te sia toccata questa sorte sei sempre un mostro kalidou ,-1
127401,grazie speravo che tu potessi lottare ancora come hai sempre fatto e continuerai a fare in campo per noi per rimanere ma questa volta non è andata come volevamo radja e salutarti è difficilissimo perché non vorremo salutarti perché non doveva andar così ,-1
122832,impediti e venduti che non siete altro gli applausi di erano rivolti a quella feccia interista che facevano cori razzisti internapoli,-1
45239, non è un giocatore qualunque e poi non mi sembra che cr7 abbia chiamato lui la juventus ,-1
46114, nessuno dei 2 purtroppo ,-1
89439, la colpa è di tutti questi idioti che regalano ad ogni sconfitta vostra un pretesto per sviare il discorso dalla partita persa ,-1
46115,caro sono molto dispiaciuto per te che ti è successo nessuno dovrebbe subire abusi a causa del colore della loro pelle in inghilterra e manchester united vediamo tutti i colori in uno solo per discutere con il tuo agente verremo con un offerta ,-1
162907, tu ed il tuo marocco meritavate di più due belle partite ma zero punti mi dispiace medhi ,-1
49536,ma poi alla fine era rigore palese o no quello su a me pare di si comunque fa comodo come sempre parlare d’altro e non della grande partita di tutta l’ 100 delinquenti non infangheranno mai la nostra storia ,-1
162902, purtroppo il mondo è pieno di stronzi forza kali amala respect,-1
128744,una vergogna non convocare in nazionale senza parole,-1
88083, ma vaffanculo te e liverpool mercenario di merda spero che non vinci un cazzo,-1
161324, però continui a non rispondere in merito perché non sai cosa cazzo rispondere e quando non sai cosa cazzo rispondere vai a prendere per il culo ad un esponente del tuo circo nara dai non essere ridicola,-1
165289,fu k ha detto tutto questo var è una porcheria che caz o c’avete cristo per non parlare degli arbitri di merda che ci sono ai mondiali raga oggi era fifa vs marocco non spagna e comunque il marocco esce a testa alta fu k varvar is bullshit,-1
90264, sì ma a te che t n fott ti ha ammazzato il gatto sta milano e gli vuoi rompere i coglioni non ho capito che deve fare per non turbare più il tuo nobile animo suicidarsi ,-1
3205, infatti non è ancora diventato rubentino come quella lota traditore che adesso volete svendere ,-1
162894, la peggior società dove l educazione ai calciatori viene data in questo modo solo tanta pochezza può provare un tifoso vergognati ,-1
2190, lei è un meschino simulatore lo hai fatto apposta le immagini sono inequivocaboli vergognati merda,-1
83033, anch io sogno di scopare con te e allora che vuol dire che addrà ahahahahahahs,-1
48134, beh si effettivaente i simulatori mi fanno schifo,-1
84633, che scandalo cazzo nessuno che ha fatto la bara di duppli il porco juventini deludenti ,-1
480, non bastava un gol annullato un rigore non dato anzi hanno raddoppiato gli episodi a ns sfavore si vedeva proprio che non ci volevano far vincere e non solo in questa partita ma la società e la dirigenza fa finta di niente quanto invece dovrebbe farsi sentire e avere equità ,-1
121521, come rivista non siete buoni manco per raccogliere la merda nella gabbia degli uccelli e toglietevi quel nome leggendario che lo infangate merde ,-1
125484,sei alto un cazzo e tre barattoli dove cazzo vai ,-1
49696, ma smettila che tutto il mondo vi odia ,-1
3039,il rigore su non c era pet niente giusta decisione della var se era la non solo era rigore veniva espulso il difensore avversario espulso l allenatore avversario uccisione del gatto del presidente avversario e pagamento di multa alla società,-1
91885,oggi il buon giornalaio paolobargiggia mi ha bloccato giustamente gli ho fatto notare in più di un occasione che non ne prendeva una sul mercato ormai da tempo strinic caldara non ne hai preso uno coglione ,-1
45980, si ribellano anche i pesci al mercato e i vetri non vengono nemmeno puliti ,-1
388, argentina non voleva vincere questa partita neanche mostrarsi stando una grande squadra con i tutti migliori giocatori del mondo come lo pensavamo però gli mancano un allenatore di qualità ,-1
128900, bugiardo non tre volte ma una volta i fatti koulibaly aggancia la spalla due volte di politano giallo di routine koulibaly applaude rosso di routine questi i fatti per i cori razzisti durezza assoluta per i 1000 beceri durezza assoluta ma non c’entra niente con la partita,-1
126783, ma ovviamente pogba si deve ridurre l ingaggio se invece preferisce guadagnare più soldi rimane a marcire allo utd ma tu dici che serve un centravanti se va via higuain per me no anche perchè per il gioco di allegri non ha tanti palloni e in più viene depotenziato dybala,-1
128903, non è un campione ci stà non è da juve ci stà scarso non si può sentire da fastidio leggerlo condivisibile o no e il mio pensiero ,-1
90127, innanzitutto modera i termini non sono una tua parente e mi spiace non scendo al tuo livello forse non sai che solo voi avete cercato cr7 e certamente sarete felici insieme ma questo non cambia la storia troglodita ,-1
2347, e 3 anni che ti odio,-1
89562, un primo tempo così brutto ma brutto brutto brutto mai visto,-1
84789, forse non hanno capito che ha smentito il titolo di tuttosport e non la trattativa ah quando la volpe non arriva all uva ,-1
124753,su c è poco da discutere ipotesi 1 gli audio sono veri ingiustificabile indifendibile va cacciato ipotesi 2 gli audio sono fake aspetto a breve smentite e querele ,-1
45974, da interista allo stadio stasera chiedo scusa per i cori razzisti di stasera peccato che una bella partita come questa sia stata rovinata da questi momenti ,-1
43152, ma tu varrià sei deficiente non c è cura azz in panchina deludenti senza speranza capisci sega,-1
91882, questa cessione mi fa male più di e kevin oltre che tecnicamente è anche grinta in campo per i compagni il tempisto poi lo trovo assurdo dall entusiasmo della prima in casa ai malumori assurdo,-1
5188, interpsv championsleague intpsv interista non ti incazzare solo al cazzo ti devi attaccare ,-1
82866, vergogna,-1
5177, lui zittisce il camp nou tu i tuoi tifosi scarso eppure montato ,-1
43126, fa male il modo è come se un amico te fa un dispetto ma te lo devi considerà come se t ha fatto no sfregio poteva evitare certi comportamenti la situazione è paradossale forse è vero che l hanno messo in mezzo me dispiace na cifra la società dovrebbe spiegare ,-1
5168, non lo meritate ,-1
5171, nooooo non ci voglio credere e solo perche messi si caga sotto che li venga rubato lo show madonna santa che disgrazia che schifo veramente,-1
163039, finalmente vi siete tolti di torno un coglione complessato poveretto fa quasi pena ,-1
82857,i cori allo stadio sono sacrosanti ma i cori razzisti contro qualificano voi non lui siete indegni internapoli,-1
403, che schifo,-1
122927,la ha preso tutto ok ora deve vincere supercoppaitalia campionato coppa italia chempins supercoppa europea e mundialito altrimenti è un fallimento totale ,-1
41353,bastardo ,-1
127299, riguardo zoro ci sta ma sono passati anche una decina d anni il mondo è piuttosto repentinamente cambiato siamo tutti un tutt uno neri bianche gialli verdi mi pare patetico dire razzismo per queste cagate,-1
2341, non conosce la parola dignità cade sempre più in basso peggio dell acqua stagnate che cattivo odore deve stare proprio male povero,-1
45370, questa ironia sulle panchine di costa vi fa sembrare stupidi ,-1
85414, il primo giallo poi fu ineccepibile porta il video e poi vediamo chi è disonesto siete e sarete sempre inferiori fatevene una ragione inutile cercare scuse,-1
90129,grazie solo a e a skrian per avercela messa tutta tutto il resto è buio pesto spalletti in panca cosa ci sei a fare le tue disamine sono anche peggio dei tuoi cambi incazzatanera amala,-1
87233, mammamia eh schifo,-1
84794, certi giornalisti pseudo tifosi come lei vanno radiati x sempre sparano solo cazzate ,-1
84798, hahahahahahahahahha disable bitch you are chronic disable ahahahahhahahahahahahahahahahahahahhahahahahahahahahhaahhahahahahahhahahaa,-1
89566, non rinnovare questo è un campione non fargli fare la carriera di batistuta sprecata in una squadretta sveglia,-1
161105, si però imbarazzante il livello,-1
84822, fa più schifo di honda,-1
82810, hai rotto il cazzo,-1
85397, beh sta cosa degli audio è casino che si aggiunge a casino che si aggiunge a casinò diventa dura ricomporre tutto ,-1
163092, ma vai a cagare ladri ,-1
163655, mi pare lo abbia scritto non ho svicolato non ho bloccato non ho risposto con enorme eleganza come il caro bastava andare a leggere e rendersi conto di come la mia affermazione fosse riferita al fatto che pistocchi risolvesse l’equivoco di alcuni tifosi sulla trat,-1
2366, quindi non hai visto le partite dato che dopo il fattaccio è certamente fuori forma si vede non è più lo stesso al momento no,-1
82807, non lo so ma queste sono scelte dell allenatore a me è sembrato strano che sarri non abbia concesso a un giocatore un applauso di ringraziamento ma evidentemente anche lì sarà successo qualcosa sarri aveva tutto il peso di una città addosso forse ha preferito non rischiare,-1
3015, non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via non andare via radja resta,-1
165495, maledetta allergia,-1
