,tweet_text,sentiment
65991,sei miglior difensore d europa forza coraggio un interista ,1
15707,fatto bene lasciare casa argentinacroazia amala maurito,1
147773,lo terrei solo questo chioccia perfetta kluivert under ,1
65985,il spirito trash pezzo instagram stories medhi benatia grazie bisogno,1
90863,buena suerte en el barca good luck the best club buona fortuna migliore squadra mondo boa sorte na melhor equipe do mundo,1
15720,grande stephan auguro meglio nuova avventura professionale rimarrai sempre comunque cuori finoallafine,1
147762,grande rispetto grande stima andres grande chapeau,1
65977,bene giocato poco vogliamo gia molto bene ,1
15724,sa fare portiere grande marione nostro,1
15725,non so leggerai messaggio dovesse essere di prego ascolta napoli napoletani stanchi guardare vogliamo vincere te possiamo farlo fallo x ama ancora torna noi rimani storia persempre ,1
15732, con numero 7 ronaldoooooooo cuore arriva gola divertirsi amici bianconeri finoallafine forza ,1
90878,bella ,1
90429, ogni partita beccava cori razzisti dava importanza quei 4 cretini rispondeva gol le prestazioni sorriso quando fiero riesci farti scivolare addosso ecco risposta bella verso razzisti,1
147665,benvenuto grande famiglia interista sicuro grandi cose insieme amala sempre vedrai bellissimo viaggio interishere,1
90947,intanto appena fatto bella corsa notturna mezzo deserto insieme figlio due amici giusto tenersi forma dopo feste pazzo folle semplicemente cr7 ,1
65863,in bocca lupo mondiale combattente medhi orgogliosi te ,1
91000,grazie tutto me mancherai ,1
15880,bellissimo sempre giganti vincono vale mondo calcio speriamo italia ,1
65860,figlio bello auguri buon anno sempre maglia ,1
65856,assolutamente daccordo ,1
147585,auguri marioneee ,1
65853,la penso esattamente te capitano gol mario stata ciliegina torta ,1
147580,poli grande metti sempre cuore meriti maglia 100 ,1
15890,una immensa croazia elimina inghilterra va finale grande mandzukic perisic,1
91012,ei dilla parolaccia tanto sappiamo hahah,1
65849,dai gianlu voleva resta e rimasto vedi d accordo co mezza premier 2 3 liga poi ceduto vero salti mortali restare fatti e facile qualcosa vinca roma liverpool ,1
15897,che rinnovi me l acquisto bello resti qua almeno 10 anni ,1
15901,era meglio avere merita l dato tutto,1
15904,grazie aver onorato maglia buona vita ,1
147562,che bella famiglia complimenti juventusxmas,1
147560,daiii aspettiamo foto bacheca juve ,1
147559,che goduria 91 dopo aver perso tempo 3 4 partita grazie cagliarinapoli,1
65837,spero croati volta buona ,1
65836,e napoletani onorati averti incontrato accolto citta civilta squadra infine vita,1
91029,done deal welcome ronaldo juve cr7allajuve,1
