,tweet_text,sentiment
142715,da juventino prima uomo totale solidarieta te schifo forza ,-1
126701,ma cazzo perche senso stronzata devo essere felice rivale comprato giocatore forte mondo cazzo vivete calcio ,-1
105104,merda cazzo on suso ,-1
126696,e sti cazzi venduto merde ,-1
34280,questi secondo me supera nessuno oggi e grazie quel momento rimasto molto semplice fuggire,-1
105100,che allena vuole essere ceduto stesso metterei tribuna tutta stagione costo perderci mancanza professionismo ingiustificabile ,-1
16823,hai dimostrato ancora volta essere uomo merda prima poi pagherai ,-1
16825,credo fatto ingolosire fiorentina creava poco problema squadra andata tilt faticava accorciare soffriva l inferiorita numerica cc lasciavano maggiori spazi squadra allungata senza vertice basso,-1
16826,quello dice e condivisibile c e dire 2 anni fa pod davate impossibile l arrivo fermo restando e classica stronzata giornalistica estiva ,-1
46079,belgiogiappone chiedevo povero stato invitato neanche panca maleducati ,-1
85331,non credevo dover davvero specificare frase unestremizzazione forse chiaro pensiero tifosi sti cori butterei vesuvio fastidio generalizzare tifosi juventini dire cosi verita,-1
70945,da interista forza coraggio badare quattro rimbambiti cervello stupidi purtroppo dappertutto forza bel calcio ciao,-1
26340,da interista chiedo scusa tifosi urlato cori razzisti confronti purtroppo ancora persone discriminano continua cosi gran giocatore ,-1
126677,mi morire fake nn vai lontano direbbe lui pensa invece pensa veramente,-1
62130,amen qui bambini ragione no ragione io me spero tanti importa sega stronzate basta rotto palle tutti tifa colori morirebbe colori porca troia,-1
62129,non puo avere tutto pensa quell altra blocca tutti brutta gobba peggio no ,-1
105083,poi giustificano cessione ragionamenti grandi direttori sportivi morale giocatore plusvalenze magari ragione supponenza cazzo ,-1
7272,ma porca merda davvero oh livelli rincoglionimento inarrivabili,-1
157422,sono interista successo stadio vergognoso dissocio completamente vero campione partita lhai vinta tu bravo rispetto ,-1
62126,mi dispiace molto meritavi essere trattato cosi ,-1
85309,sento tante stronzate gonzalone tocca in attacco dobbiamo toccare nulla ci pjaca apposto cosi juve finoallafine,-1
7265,non puoi rimanere indifferente questo vincere parigi mai vincere qui piccolissimo assaggio roma cenno scatenera linferno altro torino cr libereresti neymar editorna,-1
7264,a piace elemento,-1
113374,talmente incompetente conosce neppure protocollo var talmente malafede belotti rigore talmente qst paese marcio qst paghiamo ns soldi sapere piacerebbe chiedere zenga,-1
113376,quello vuole fare figlio puttana bene dato pieni esponiti pls,-1
135709,cazzo caga addosso ,-1
157439,e basta dire cazzate utili solo pro domo tenerti 4 seguaci stolti altri significa fare figura totale incompetente,-1
85294,sei lurido pagherai tutto farabutto ,-1
16851,eh si effetti po insipida ,-1
105071,il gioco funziona mai disponibile dice pegnato travoni fermo immezzo hal canpo guarda torno sperduto vabbene realismo cosi puo giocare rivoglio soldi lo rubato ,-1
70928,non giustificato proprio niente anzi leggi bene commenti detto coglioni meritano squalifica vita dispiace espresso male pero generalizzare juventini odiano napoletani fa anna trieste no,-1
157382,di indossarla maglia ancora parla proprio sembra ,-1
7308,tacci grazie cazzo vabbe ormai ,-1
46092,anche taggi certo personaggi rimarra sempre stronzata colossale,-1
7355,francia cazzo spendero nemmeno euro terra fatta merda,-1
85397,beh sta cosa audio casino aggiunge casino aggiunge casino diventa dura ricomporre tutto ,-1
135655,ma perche occupate solo formellese tifosi la basta no vero probabilmente sara dite pure cambiano volto roma scrivete solo creare casini sgamati 1900 ,-1
157332,se veri qualche problema ce creano livello ambiente tifosi clima intorno squadra fake vuol dire qualche problema ce vogliono creare entrambi casi parola problema presente societa qui deve trovare quadra deve risolvere,-1
126743,eri ottimo giocatore adesso rovinato ,-1
7348,che chiavica campionato venderete cazzo pagliacci ,-1
85389,e cosi triste andare vedere piace trovare tweet romanisti nemmeno interista fomentato arrivo sempre noi avversario mancherai tantissimo portato via poche certezze swusdra,-1
146546,io pensando gia gol abbracci maglia magari super prestazione noi andato allestero nessun problema sostegno massimo affetto massimo allinter no ce dispiace limitato ,-1
135660,ma tenete pallone ma volete correre ci metere voglia infami pezzi merda fuori cazzo bastardi figli puttana,-1
70891,ah si perche andata vedere napoli spal sabato scorso portiere colore c e stato nessun insulto coro solo giocatore neanche pochi tifosi c erano resto cosi cretini visto ,-1
70892,non trovo nessuna differenza massa inutili internapoli invocare vesuvio buu razzisti forse ne accorto campionato incivile arrivato almeno me auguro chiudetelaseriea,-1
135661,un tipo fastidioso vuole fare foto chiunque,-1
7339,vero ragazzi sopravvalutato,-1
16797,chi scrive cose merda rubentini interisti la merda maglie uguale,-1
146465,gianlu ammazzo di notizia finta milan prego ,-1
46115,caro molto dispiaciuto te successo nessuno dovrebbe subire abusi causa colore pelle inghilterra manchester united vediamo colori solo discutere agente verremo un offerta ,-1
46110,torna riscrivi storia napoli citta napoli calcio aspettano soldi vita vive soddisfazioni portare titolo scudetto altri riusciti,-1
34254,rotto credo ieri fatto 25 minuti partita ,-1
113318,te pago stipendio pezzo merda giornalista no solo ultra travestito coglione rai spera incontrare mai strada qualcuno tifosi beoti juventus luna storta inutile,-1
113323,ciao kalidou adda passa a nuttata prima poi mondo capira l odio sentimento stupido ,-1
105116,siete talmente poveri usate simboli italiani giocatori italiani patetici,-1
146531,e ignoranza tweet lignoranza stessa offesa ,-1
105113,auguri cazzo peggior capitano storia milan ,-1
46099,deludenti perche scaldato panchina maniera sbagliata cioe dovevano fare acrobazie bordocampo risultare decisivi spieghi no normale diano coglione quando scrive ste oscenita,-1
146527,mi spiace potevano vedere campioni mondo 2 calciatori squadra esiste dall altra parte fa piacere solo deschamps ,-1
70916, e rubato ancora nasone ,-1
95169,ok delusi dall uomo no dall operazione mercato tanto ,-1
53389,varriale caro fatto bel buco nell acqua posto un ignoranza inaudita vergogno te chiedono soldi in bolletta perdio pagare beoti te ,-1
85353,riferite vs presidente il piu cessione commesso errori gravi storia meglio incominciasse cercare validi acquirenti roma vergogna ,-1
85352,manca tricolore famo ,-1
46114,nessuno 2 purtroppo ,-1
113385,sei scema ipocrita,-1
70983,wojciech vai tranquillo posto titolare juve te guadagnato certo partita toglietelo,-1
126641,daje sbaglia cade rialza te l ho gia detto all inter tv giornali amici ce sono quindi testa bassa lavorare aspettiamo ,-1
85230,a piace post,-1
7180,la sciarpa terra schifata fa rosicare ancora te andato ninja,-1
126582,brasilebelgio giocatore sopravvalutato storia giuoco calcio,-1
135757,pare fatta rinnovo mendes cio voleva giocatore pure beffata,-1
135761,si vede conosceva gia prima vicenda ma poi voglio capire ti offrono 3 milioni devi dire no restare nn vogliono t possono pagare meno a volte meglio nn prendere fiato ,-1
95273,in foto altro esempio creasse pochi grattacapi e copriva ogni linea passaggio costringendo all errore caso retropassaggio troppo forte calcio d angolo regalato reds ,-1
157541,siete la vergogna fate schifo ,-1
62066,tu campione dispiace insulti mollare ,-1
62065,non parlare cuore idea cosa sia chiedi qualcuno toro spiegartelo buffone ,-1
113440,nainggolan emrecan possono coesistere medesima frase acquistato juventus ninja parlerebbe d altro grazie servi tv carta straccia peccato schifa societa bianconera molti noi inter amala radjala,-1
34389,io uguale giga illimitati dormito meno ,-1
62064,pensavo senso tweet chiaro scusami ,-1
34392,odio superficialita te devo di ,-1
105021,ancora credo gia saturo commenti negativi ,-1
157517,dillo prude segnato dilloooo porco ,-1
7157,credo volta riuscira fare accordi fatto lotito sbagliato occasioni senza considerare offese cinguetta ogni giorno occupa posto prestigio televisioni importanti d italia dato buon esempio ,-1
26268,non puoi accettare odiosi personaggi tifosi schifosi odiatori forza no razzismo,-1
16917,avevano paura metteva imbarazzo messi altri ecco perche forza fino fine,-1
95286,cara c e malcom radja tenga vogliamo joaocancelo70 nerazzurri poi fate cazzo pare,-1
45974,da interista stadio stasera chiedo scusa cori razzisti stasera peccato bella partita stata rovinata momenti ,-1
16923,a ritardato perche solo cosi vai chiamato smetti postare foto fake solo ritardato nn sa albiol stato chiamato fallo koulibaly preso gamba ecc ecc poi metti pure cose inventate mentacatto ispiratore violenza devi chiudere cesso,-1
71072,purtroppo,-1
16925,gia scassato settimana scorsa adesso troppo basta acquisti,-1
26260,un giocatore merda poteva scegliere solo squadra merda,-1
85181,lascia perdere ultimi 20 minuti l arbitro e stato vergognoso ,-1
26258,meglio evitare scritto pure brutto ,-1
26257,ma ritardato ,-1
